iterations,time
1250000,8.81E-02
2500000,9.10E-02
3750000,9.09E-02
5000000,8.93E-02
6250000,9.17E-02
7500000,9.02E-02
8750000,8.81E-02
10000000,8.92E-02
11250000,9.20E-02
12500000,9.03E-02
