time,read,function,functionread
active\_power,1.984,3.114,1.13
voltage,2.009,3.019,1.01
intensity,1.977,2.626,0.649
average\_consumption,1.973,2.537,0.564
after\_18,1.97,2.608,0.638
,1.9826,,
